Word,Score,Date
Abandon,40,22/06/2019 15:03
Absorb,71,20/09/2015 17:46
Acclaim,42,11/04/2017 16:56
Accuracy,100,08/08/2022 04:50
Adventure,110,20/09/2019 11:34
Affection,77,15/11/2022 11:55
Algorithm,91,22/04/2022 05:18
Ambition,85,03/02/2024 18:50
Ample,50,27/05/2021 18:34
Antique,78,25/11/2016 13:47
Aspire,65,09/11/2019 12:47
Asterisk,95,27/08/2016 10:46
Atmosphere,124,25/06/2015 09:32
Balance,44,12/12/2022 03:31
Banquet,84,26/04/2023 16:12
Beautiful,97,23/02/2015 17:30
Benevolent,111,25/11/2015 04:06
Blazing,74,27/04/2021 21:55
Blueprint,124,29/01/2020 00:50
Blossom,89,06/12/2019 19:36
Brave,55,20/12/2020 14:04
Brilliant,113,11/05/2019 03:13
Bubble,39,13/08/2015 23:02
Candid,38,26/05/2022 13:39
Catalyst,98,20/03/2016 07:32
Celebrate,73,23/05/2022 07:16
Charming,81,21/01/2024 20:38
Chronicle,82,20/04/2018 05:44
Clarity,87,23/12/2018 09:04
Clever,,70,25/06/2023 05:43
Comfort,92,07/05/2021 09:58
Compassion,108,19/06/2022 04:50
Concept,68,17/11/2021 04:16
Conquer,92,22/05/2020 21:29
Courage,76,12/01/2018 00:32
Craft,58,18/04/2023 05:05
Curious,98,27/11/2019 22:30
Daring,54,21/06/2017 21:47
Dawn,40,16/10/2018 18:37
Decipher,71,18/02/2020 18:09
Delight,68,13/02/2016 21:03
Destiny,103,15/02/2020 11:36
Diligent,76,29/11/2019 19:15
Discover,99,07/05/2022 18:27
Divine,65,04/01/2019 23:20
Dream,41,29/01/2024 05:37
Dusk,59,29/05/2019 02:33
Dynamic,68,22/05/2022 08:10
Eager,37,20/06/2019 04:25
Eclectic,71,25/11/2016 09:15
